id,country_of_origin,farm_name,average_altitude_m,region,number_of_bags,bag_weight_kg,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,overall,defects,total_cup_points,moisture_percentage,category_one_defects,quakers,color,category_two_defects,total_bag_weight
144,Honduras,Varias,1280.0,Marcala,275,69.0,catuai,washed / wet,7.67,7.58,7.5,7.5,7.58,7.5,10.0,7.5,0,62.83,10.0,0,0,green,4,18975.0
145,Thailand,Doi Tung Development Project,1400.0,North of Thailand,2,1.0,gayo,washed / wet,7.17,7.92,7.58,7.5,7.58,7.67,10.0,7.42,0,62.84,11.8,0,0,yellow-green,5,2.0
146,Vietnam,Ea tan Cooperative,900.0,"Eatan Commune, Krong Nang District, Krong Nang Province",22,60.0,catimor,semi washed,7.58,7.42,7.58,7.5,7.67,7.75,10.0,7.33,0,62.83,13.3,0,0,green,4,1320.0
147,Nicaragua,Finca San Felipe,1200.0,Matagalpa,275,69.0,shg,natural / dry,7.33,7.58,7.25,7.33,7.75,8.17,10.0,7.33,0,62.74,10.5,5,2,green,1,18975.0
148,Costa Rica,AMA EL AROMA Micro lot no_record Sunrise,1450.0,west Villege,10,30.0,sl28,semi washed,7.33,7.5,7.25,7.92,7.75,7.58,10.0,7.42,0,62.75,11.8,0,0,pale yellow,1,300.0
149,Colombia,Federación Nacional de Cafeteros de Colombia,1700.0,Huila,250,70.0,caturra,washed / wet,7.58,7.67,7.58,7.5,7.33,7.5,10.0,7.5,0,62.66,11.8,0,1,green,2,17500.0
150,Thailand,Doi Tung Development Project,1390.0,North of Thailand,2,1.0,caturra,washed / wet,7.33,7.58,7.58,7.5,7.67,7.67,10.0,7.33,0,62.660000000000004,13.0,1,0,greenish,0,2.0
151,Thailand,Kevin Coffee,1200.0,Chiang Mai,6,50.0,"bourbon, catimor, caturra, typica",natural / dry,7.5,7.58,7.5,7.42,7.5,7.58,10.0,7.58,0,62.66,11.2,0,0,yellow-green,0,300.0
152,Honduras,Bethel,1450.0,los planes de santa maria la paz,325,69.0,catuai,washed / wet,7.67,7.58,7.33,7.5,7.58,7.5,10.0,7.5,0,62.66,9.6,0,0,green,2,22425.0
153,Taiwan,銅鏡莊園,165.0,苗栗縣,1,4.0,no_record,natural / dry,7.67,7.67,7.42,7.42,7.42,7.5,10.0,7.5,0,62.6,9.8,0,0,green,0,4.0
154,Taiwan,掬香園,465.0,苗栗縣,1,32.0,caturra,washed / wet,7.67,7.58,7.42,7.42,7.5,7.5,10.0,7.5,0,62.59,8.4,0,0,blue-green,2,32.0
155,Nicaragua,Finca Las Dos Marias,1350.0,ESTELI,120,45.0,parainema,washed / wet,7.5,7.58,7.42,7.58,7.5,7.58,10.0,7.42,0,62.58,10.1,0,0,green,0,5400.0
156,El Salvador,Agua Caliente,1200.0,Apaneca - Ilamatepec,600,30.0,bourbon,washed / wet,7.67,7.33,7.17,7.67,7.83,7.5,10.0,7.33,0,62.5,11.3,0,0,green,2,18000.0
157,Panama,Finca Lerida,1200.0,Boquete,200,30.0,caturra,washed / wet,7.75,7.67,7.17,7.67,7.42,7.42,10.0,7.42,0,62.52,10.0,0,0,green,0,6000.0
158,Brazil,Fazenda Pedra Preta,1100.0,MANTIQUEIRA / SUL DE MINAS,620,30.0,mundo novo,natural / dry,7.5,7.58,7.5,7.5,7.67,7.42,10.0,7.33,0,62.5,11.8,0,1,bluish-green,1,18600.0
159,United States (Hawaii),Kainaliu Farm,640.0,Kona,4,15.0,maragogype,washed / wet,7.33,7.58,7.5,7.5,7.5,7.58,10.0,7.5,0,62.489999999999995,11.7,0,0,blue-green,1,60.0
160,Mexico,Las Trincheras,1340.0,Veracruz,10,15.0,pacamara,washed / wet,7.67,7.42,7.5,7.5,7.67,7.42,10.0,7.33,0,62.51,10.7,0,0,pale yellow,0,150.0
161,Honduras,La Cuchilla,1368.0,"Centro, Lagunetillas - Ajuterique, Comayagua",345,30.0,catuai,washed / wet,7.58,7.58,7.33,7.5,7.58,7.42,10.0,7.5,0,62.49,10.6,0,0,green,8,10350.0
162,Taiwan,弘欣咖啡園,139.0,新竹縣,1,200.0,no_record,washed / wet,7.42,7.42,7.58,7.42,7.58,7.5,10.0,7.58,0,62.5,8.4,0,0,green,2,200.0
163,Nicaragua,Finca Aurora,1275.0,"Matagalpa, Nicaragua",275,69.0,caturra-catuai,washed / wet,7.58,7.58,7.42,7.42,7.5,7.5,10.0,7.42,0,62.42,11.4,0,0,bluish-green,0,18975.0
165,El Salvador,Agua Caliente,1200.0,Apaneca - Ilamatepec,600,30.0,bourbon,washed / wet,7.5,7.5,7.42,7.42,7.42,7.67,10.0,7.42,0,62.35000000000001,12.0,0,7,green,10,18000.0
166,El Salvador,Agua Caliente,1200.0,Apaneca - Ilamatepec,275,69.0,bourbon,washed / wet,7.33,7.67,7.25,7.67,7.83,7.42,10.0,7.17,0,62.34,11.8,0,0,bluish-green,0,18975.0
167,Taiwan,寶山謐靚,140.0,新竹縣,1,5.0,no_record,natural / dry,7.67,7.58,7.42,7.5,7.33,7.42,10.0,7.42,0,62.34,10.8,0,0,green,1,5.0
168,Peru,Fundo La Libertado,1600.0,"Chanchamayo, La Merced",275,69.0,caturra,washed / wet,7.67,7.5,7.33,7.58,7.33,7.42,10.0,7.42,0,62.25,11.7,0,1,greenish,3,18975.0
169,United States (Hawaii),Manny's Farm,1200.0,Kona district of Big Island,3,30.0,typica,washed / wet,7.75,7.42,7.33,7.5,7.33,7.5,10.0,7.33,0,62.16,10.6,1,0,green,5,90.0
170,Kenya,Kenyan Highlands,1725.0,Kericho,13,5.0,"sl28,sl34,ruiru11",washed / wet,7.5,7.5,7.42,7.5,7.25,7.5,10.0,7.5,0,62.17,11.2,0,0,green,2,65.0
171,Honduras,La Cuchilla,1368.0,"Centro, Lagunetillas - Ajuterique, Comayagua",125,69.0,catuai,washed / wet,7.67,7.5,7.25,7.5,7.5,7.33,10.0,7.42,0,62.17,10.6,0,0,green,8,8625.0
172,Taiwan,金暖農場,600.0,桃園市,1,3.0,no_record,washed / wet,7.5,7.67,7.33,7.5,7.25,7.33,10.0,7.5,0,62.08,9.7,0,0,bluish-green,0,3.0
173,Taiwan,好客農埸,460.0,苗栗縣,1,60.0,no_record,semi washed,7.33,7.42,7.42,7.5,7.42,7.5,10.0,7.5,0,62.09,8.1,0,0,greenish,3,60.0
174,Taiwan,拉拉山祖嵐咖啡莊園,500.0,桃園市,1,20.0,no_record,washed / wet,7.5,7.58,7.42,7.42,7.25,7.42,10.0,7.42,0,62.010000000000005,8.2,0,0,green,1,20.0
175,Thailand,Doi Tung Development Project,1000.0,North of Thailand,2,1.0,catimor,washed / wet,7.17,7.5,7.42,7.42,7.58,7.5,10.0,7.42,0,62.01,9.8,0,0,green,0,2.0
176,Costa Rica,San Diego Mill,1500.0,Corralillo Tarrazu,500,30.0,caturra,washed / wet,7.42,7.42,7.42,7.33,7.58,7.33,10.0,7.5,0,61.99999999999999,10.5,1,2,green,8,15000.0
177,Guatemala,no_record,1450.0,Oriente,275,69.0,no_record,washed / wet,7.42,7.42,7.42,7.33,7.5,7.42,10.0,7.5,0,62.01,11.5,0,1,blue-green,2,18975.0
178,Indonesia,Wahana Graha Makmur,1350.0,Sumatra,320,60.0,no_record,semi washed,7.67,7.33,7.25,7.67,7.42,7.25,10.0,7.42,0,62.010000000000005,12.5,0,0,bluish-green,0,19200.0
179,Peru,Fundo La Libertad,1600.0,"Chanchamayo, La Merced",275,69.0,caturra,washed / wet,7.5,7.5,7.33,7.5,7.33,7.33,10.0,7.42,0,61.91,11.6,0,2,greenish,2,18975.0
180,Guatemala,MULTIPLE SMALLHOLDER FARMS,1400.0,Antigua,540,30.0,caturra,washed / wet,7.33,7.42,7.33,7.42,7.58,7.42,10.0,7.42,0,61.92,10.3,0,0,greenish,1,16200.0
181,Taiwan,阿拉思家,300.0,桃園市,1,6.0,typica,semi washed,7.25,7.42,7.42,7.5,7.42,7.42,10.0,7.42,0,61.85,11.3,0,0,green,0,6.0
182,Vietnam,Gaia Farms,5400.0,Lam Dong Province,1,1.0,catimor,semi washed,7.5,7.5,7.25,7.42,7.42,7.42,10.0,7.33,0,61.84,11.2,0,0,green,4,1.0
183,Brazil,Sitio Colinas,1000.0,Mantiquira de minas,14,5.0,yellow catuai,semi washed,7.5,7.5,7.42,7.33,7.33,7.33,10.0,7.42,0,61.83,11.3,0,0,pale yellow,2,70.0
184,Brazil,Fazenda Olhos Dagua,950.0,Sul de Minas,325,59.0,catucai,natural / dry,7.42,7.5,7.58,7.33,7.33,7.25,10.0,7.33,0,61.739999999999995,11.1,0,0,yellow-green,0,19175.0
185,Colombia,More than one,1574.0,Santander,275,70.0,santander,washed / wet,7.33,7.5,7.33,7.42,7.42,7.42,10.0,7.33,0,61.75,11.2,0,0,yellow-green,0,19250.0
186,Mexico,Finca San José,1200.0,"Coatepec, Veracruz",32,69.0,typica,washed / wet,7.58,7.42,7.25,7.25,7.5,7.33,10.0,7.33,0,61.66,11.8,2,0,green,2,2208.0
187,Costa Rica,HACIENDA SAN IGNACIO,1200.0,occidente,100,69.0,caturra,washed / wet,7.33,7.42,7.25,7.42,7.42,7.33,10.0,7.42,0,61.59,9.7,0,2,green,4,6900.0
188,Taiwan,橫鹿,300.0,新北市,1,100.0,typica,semi washed,7.42,7.5,7.33,7.33,7.33,7.33,10.0,7.33,0,61.56999999999999,9.0,0,0,yellow-green,0,100.0
189,Taiwan,大屯29莊園,435.0,臺北市,1,8.0,no_record,semi washed,7.33,7.5,7.42,7.33,7.33,7.25,10.0,7.33,0,61.489999999999995,8.5,0,0,green,0,8.0
190,Thailand,Doi Tung Development Project,1400.0,North of Thailand,2,1.0,java,washed / wet,7.33,7.42,7.25,7.33,7.5,7.42,10.0,7.17,0,61.42,11.6,2,0,green,1,2.0
191,Thailand,Doi Lan,1400.0,Chiang Rai,5,15.0,typica bourbon caturra catimor,natural / dry,7.42,7.25,7.33,7.42,7.33,7.33,10.0,7.25,0,61.33,10.5,0,0,yellowish,5,75.0
192,Thailand,Doi Tung Development Project,700.0,North of Thailand,2,1.0,catimor,washed / wet,7.25,7.25,7.42,7.25,7.42,7.42,10.0,7.17,0,61.18000000000001,10.4,0,0,green,0,2.0
193,Colombia,Escalera,1550.0,Cauca,1,30.0,"caturra,colombia,castillo",washed / wet,7.42,7.25,7.25,7.42,7.17,7.33,10.0,7.33,0,61.17,11.4,0,2,greenish,2,30.0
194,Brazil,Various farm,1200.0,Alta Mogiana-Ibiraci,440,60.0,no_record,natural / dry,7.42,7.42,7.25,7.25,7.17,7.25,10.0,7.25,0,61.01,10.6,0,2,greenish,1,26400.0
195,El Salvador,"Rosario de Maria II, Area de Loma Alta",1400.0,"Volcan Chinchontepek, San Vicente, El Salvador",1,2.0,bourbon,natural / dry,7.42,7.33,7.33,7.5,7.08,7.0,10.0,7.17,0,60.83,10.5,0,8,bluish-green,7,2.0
196,Nicaragua,EXPORTADORA ATLANTIC S.A,1100.0,no_record,275,69.0,caturra,washed / wet,7.25,7.25,7.17,7.33,7.08,7.25,10.0,7.17,0,60.5,11.5,0,1,greenish,3,18975.0
197,Nicaragua,Sajonia Estate Coffee S.A.,1000.0,Jinotega,275,69.0,sarchimor,washed / wet,7.42,7.17,7.0,7.08,7.42,7.17,10.0,7.17,0,60.43000000000001,11.2,0,0,green,5,18975.0
198,Colombia,Finca Mallorca,1600.0,"Caicedonia,Valle del Cauca",3,10.0,"castillo,caturra,bourbon",washed / wet,7.25,7.25,7.17,7.33,7.0,7.17,10.0,7.25,0,60.42,11.0,0,3,greenish,3,30.0
199,Peru,Fundo La Libertad,1600.0,"Chanchamayo, Lamerced",275,69.0,caturra,washed / wet,7.5,7.25,7.17,7.17,7.17,7.08,10.0,7.0,0,60.34,11.8,0,6,greenish,11,18975.0
200,El Salvador,"Rosario de Maria II, Area de Menjivar",1300.0,"Volcan Chinchontepek, San Vicente, El Salvador",1,2.0,pacas,natural / dry,7.08,7.25,7.08,7.42,7.42,7.08,10.0,7.0,0,60.33,11.5,0,10,bluish-green,7,2.0
201,Brazil,Various farm,1200.0,Alta Mogiana-Ibiraci,440,60.0,"catuai,mundo novo",natural / dry,7.25,7.17,7.17,7.08,7.17,7.17,10.0,7.17,0,60.18000000000001,11.6,0,1,greenish,2,26400.0
202,Brazil,Fazenda Conquista,950.0,Sul de Minas,2240,60.0,mundo novo,natural / dry,7.17,7.17,6.92,7.17,7.42,7.17,10.0,7.08,0,60.1,11.4,0,0,green,4,134400.0
203,Nicaragua,Finca San Felipe,1200.0,Matagalpa,300,30.0,shg,natural / dry,7.33,7.08,6.75,7.17,7.42,7.17,10.0,7.08,0,60.0,10.4,0,2,green,12,9000.0
204,Laos,no_record,1300.0,Bolaven Plateau,343,60.0,catimor,washed / wet,7.25,7.17,7.08,7.0,7.08,7.08,10.0,7.0,0,59.66,11.6,0,9,green,11,20580.0
205,El Salvador,"Rosario de Maria II, Area de La Pila",1200.0,"Volcan de San Vicente, La Paz, El Salvador",1,2.0,maragogype,natural / dry,6.5,6.75,6.75,7.17,7.08,7.0,10.0,6.83,0,58.08,11.0,0,12,bluish-green,13,2.0
206,Brazil,Walter Matter,975.0,Minas Gerais,600,60.0,mundo novo,semi-lavado,7.25,7.08,6.67,6.83,6.83,6.67,10.0,6.67,0,58.0,11.3,0,0,green,1,36000.0
