id,country_of_origin,farm_name,average_altitude_m,region,number_of_bags,bag_weight_kg,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,overall,defects,total_cup_points,moisture_percentage,category_one_defects,quakers,color,category_two_defects,total_bag_weight
43,Uganda,Gideon Kule,1905.0,Rwenzori,320,60.0,sl14,washed / wet,8.0,7.92,7.75,7.75,7.75,7.92,10.0,7.92,0,65.01,11.0,0,0,green,1,19200.0
44,Taiwan,愛姬咖啡莊園iGfarm,150.0,壽豐鄉Shoufeng Township,1,50.0,typica,others,7.92,8.0,7.92,8.0,7.58,7.75,10.0,7.83,0,65.0,10.9,0,0,green,0,50.0
45,Taiwan,青山坪咖啡農場,800.0,Yunlin,6,50.0,gesha,natural / dry,8.17,8.08,7.83,7.67,7.67,7.75,10.0,7.83,0,65.0,10.1,0,0,yellow-green,0,300.0
46,Guatemala,varias fincas,1600.0,Antigua,600,30.0,caturra,washed / wet,7.67,8.08,7.67,8.0,7.92,7.83,10.0,7.83,0,65.0,9.9,0,1,green,1,18000.0
47,Guatemala,PEÑA BLANCA,4700.0,Santa Rosa,632,30.0,catuai,washed / wet,7.67,8.0,7.75,7.92,8.0,7.83,10.0,7.83,0,65.0,11.3,0,0,green,4,18960.0
49,Taiwan,六曲窩,375.0,新竹縣,1,13.0,typica,washed / wet,7.92,7.92,7.83,7.83,7.75,7.83,10.0,7.83,0,64.91,9.5,0,0,green,2,13.0
50,Taiwan,北平山林,230.0,新竹縣,1,4.0,yellow bourbon,natural / dry,8.0,8.0,7.75,7.75,7.67,7.75,10.0,7.92,0,64.84,9.7,0,0,brownish,0,4.0
51,Indonesia,PT Indo CafCo North Sumatera,1200.0,Aceh Tengah,320,60.0,catimor,others,7.83,7.92,7.75,7.83,7.83,7.83,10.0,7.83,0,64.82,11.9,0,3,bluish-green,2,19200.0
52,Peru,Ruya Yayu Farm,1750.0,Villa Rica,3,5.0,gesha,washed / wet,8.0,8.0,7.83,7.83,7.58,7.83,10.0,7.75,0,64.82,10.7,0,0,greenish,0,15.0
53,Tanzania,IYENGA,1654.0,Mbeya,620,30.0,bourbon,washed / wet,7.92,7.75,7.75,7.92,7.83,7.83,10.0,7.83,0,64.83,11.2,0,0,greenish,0,18600.0
54,Taiwan,優遊吧斯瑪翡咖啡莊園,1300.0,Chiayi,1,25.0,sl34,natural / dry,7.83,7.83,7.67,7.67,7.83,8.0,10.0,8.0,0,64.83,9.5,0,0,greenish,0,25.0
55,Taiwan,森悅高峰咖啡莊園,1400.0,Nantou,1,30.0,sl34,washed / wet,7.67,7.92,7.92,7.83,7.75,7.83,10.0,7.83,0,64.75,10.4,0,0,green,0,30.0
56,Brazil,Fazenda Guariroba,1100.0,Campo das Vertentes,5,36.0,yellow bourbon,double carbonic maceration / natural,7.83,7.92,7.75,7.92,7.67,7.83,10.0,7.83,0,64.75,11.2,0,1,green,5,180.0
57,Panama,La Santa,1200.0,Boquete,200,30.0,catuai,washed / wet,7.83,7.83,7.75,7.92,7.83,7.75,10.0,7.83,0,64.74,10.3,0,1,bluish-green,5,6000.0
58,Taiwan,嵐雲綠海咖啡,1200.0,台灣屏東,1,2.0,yellow bourbon,semi washed,7.92,8.08,7.67,7.92,7.67,7.75,10.0,7.75,0,64.76,10.0,0,0,blue-green,0,2.0
59,Guatemala,Varias Fincas,1600.0,Huehuetenango,600,30.0,caturra,washed / wet,7.67,8.0,7.67,7.83,7.92,7.67,10.0,7.92,0,64.68,10.6,0,0,green,1,18000.0
60,Guatemala,SAN RAFAEL URIAS VALDES,4895.0,ANTIGUA GUATEMALA,66,30.0,bourbon,natural / dry,7.83,8.0,7.67,7.83,7.75,7.75,10.0,7.83,0,64.66,10.9,0,3,yellow-green,2,1980.0
61,Costa Rica,Gamboa Farm,1850.0,Tarrazu,260,69.0,caturra,washed / wet,7.58,7.83,7.5,7.67,7.83,7.67,10.0,8.58,0,64.66,10.0,0,1,green,2,17940.0
62,Taiwan,羅馬8號莊園,250.0,新竹縣,1,16.0,typica,semi washed,7.83,7.83,7.75,7.75,7.75,7.75,10.0,7.92,0,64.58,9.6,0,0,greenish,0,16.0
63,Taiwan,大鋤花間(Dachu Coffee Estate),700.0,"( Dongshan Dist., Tainan City)",16,5.0,gesha,semi washed,8.17,7.83,7.67,7.83,7.67,7.67,10.0,7.75,0,64.59,11.5,0,0,green,0,80.0
64,Nicaragua,Finca Las Dos Marias,1350.0,ESTELI,74,45.0,catrenic,natural / dry,7.92,7.75,7.67,7.67,7.83,7.75,10.0,8.0,0,64.59,9.9,1,0,green,2,3330.0
65,Taiwan,雅慕伊咖啡莊園,1250.0,Chiayi,1,80.0,gesha,washed / wet,8.08,7.83,7.67,7.67,7.67,7.75,10.0,7.92,0,64.59,11.2,0,0,green,2,80.0
66,Taiwan,名陽園,1450.0,Chiayi,1,104.0,sl34,natural / dry,7.83,8.0,7.67,7.75,7.67,7.75,10.0,7.92,0,64.59,10.3,0,0,green,0,104.0
67,Vietnam,CupnCare,650.0,Quang Tri,3,5.0,catimor,natural / dry,8.0,7.83,7.75,7.67,7.58,7.83,10.0,7.92,0,64.58,11.6,0,0,brownish,0,15.0
68,Costa Rica,La Cumbre,1900.0,"Los Santos,Tarrazu",1,22.0,gesha,washed / wet,7.75,7.83,7.67,7.83,7.75,7.75,10.0,7.92,0,64.5,11.7,0,1,green,0,22.0
69,Taiwan,苗55咖啡莊園,520.0,苗栗縣,1,300.0,no_record,semi washed,7.75,7.92,7.83,7.75,7.75,7.75,10.0,7.75,0,64.5,11.3,0,0,bluish-green,0,300.0
70,Honduras,La Cuchilla,1368.0,"Centro, Lagunetillas-Ajuterique, Comayagua",340,69.0,catuai,washed / wet,7.83,7.92,7.75,7.75,7.75,7.75,10.0,7.75,0,64.5,9.8,0,0,green,3,23460.0
71,Ethiopia,TRACON TRADING PLC,1943.0,Ethiopia,584,30.0,ethiopian heirlooms,washed / wet,7.92,7.83,7.75,7.92,7.58,7.67,10.0,7.83,0,64.5,10.9,0,0,green,9,17520.0
72,Taiwan,917農場 (917 Farm),400.0,玉里鎮Yuli Township,1,20.0,typica,natural / dry,8.08,7.92,7.75,7.83,7.5,7.58,10.0,7.83,0,64.49,10.2,0,0,green,0,20.0
73,Taiwan,皇庭咖啡莊園,850.0,Yunlin,1,100.0,gesha,washed / wet,7.83,8.0,7.5,7.75,7.75,7.75,10.0,7.83,0,64.41,10.1,0,0,bluish-green,1,100.0
164,Vietnam,Apollo Estate,1040.0,Dalat,77,15.0,catimor,washed / wet,7.5,7.5,7.33,7.5,7.5,7.42,10.0,7.58,0,62.33,10.5,0,0,bluish-green,0,1155.0
74,Guatemala,Finca Alta Luz,1350.0,Huehuetenango,600,30.0,bourbon,washed / wet,7.67,7.83,7.75,7.75,7.83,7.75,10.0,7.75,0,64.33,9.2,0,1,green,5,18000.0
75,United States (Hawaii),Miranda's Farm,1300.0,Ka'u district of Big Island,10,10.0,catuai,washed / wet,7.92,7.83,7.75,7.92,7.5,7.67,10.0,7.75,0,64.34,10.1,3,0,yellow-green,7,100.0
76,Ethiopia,Bisrat Melaku Washing Station,2361.0,Addis Ababa,320,60.0,ethiopian heirlooms,natural / dry,7.83,7.75,7.58,7.92,8.0,7.5,10.0,7.75,0,64.33,11.0,0,5,yellow-green,4,19200.0
77,El Salvador,San Nicolas,1500.0,Chalatenango,20,30.0,pacamara,semi washed,7.83,7.83,7.83,7.83,7.67,7.67,10.0,7.67,0,64.33,10.3,0,0,brownish,4,600.0
78,Colombia,Asociacion Tayronaca,2100.0,Sierra Nevada de Santa Marta,275,70.0,"castillo,colombia ",washed / wet,7.75,7.75,7.75,7.75,7.83,7.67,10.0,7.83,0,64.33,11.6,0,0,green,1,19250.0
79,Indonesia,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara",1300.0,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara",1,60.0,"jember,tim-tim,ateng",wet hulling,7.67,7.67,7.83,7.83,7.67,7.75,10.0,7.83,0,64.25,11.5,0,1,blue-green,1,60.0
80,Guatemala,San jose del lago,1600.0,Atitlán,55,30.0,typica,washed / wet,7.58,7.92,7.67,7.75,7.83,7.75,10.0,7.75,0,64.25,10.0,0,0,green,1,1650.0
81,Madagascar,Mandroso,1500.0,Itasy,5,60.0,bourbon,washed / wet,7.92,7.92,7.58,7.75,7.58,7.67,10.0,7.83,0,64.25,12.1,0,0,blue-green,0,300.0
82,Honduras,La Cuchilla,1368.0,"Centro, Lagunetillas-Ajuterique, Comayagua",345,30.0,catuai,washed / wet,7.75,7.75,7.58,7.83,7.75,7.75,10.0,7.75,0,64.16,10.2,0,0,green,2,10350.0
83,Guatemala,san francisco cotzal,1600.0,quiche,275,69.0,caturra,washed / wet,7.58,7.92,7.58,7.83,7.75,7.67,10.0,7.75,0,64.08,11.0,0,3,green,2,18975.0
84,Taiwan,竹崙子莊園,150.0,新北市,1,110.0,no_record,semi washed,7.83,7.92,7.83,7.58,7.58,7.67,10.0,7.67,0,64.08,10.8,0,0,greenish,2,110.0
85,Taiwan,元富咖啡莊園,800.0,Yunlin,1,80.0,gesha,natural / dry,7.92,7.75,7.67,7.75,7.75,8.0,9.33,7.92,0,64.09,10.6,0,0,yellow-green,0,80.0
86,Guatemala,varias fincas,1550.0,Oriente Santa rosa,430,30.0,caturra,washed / wet,7.67,7.83,7.67,7.83,7.75,7.67,10.0,7.67,0,64.09,11.0,0,1,green,2,12900.0
87,Guatemala,varias fincas,1550.0,Sierra de las minas,200,30.0,caturra,washed / wet,7.67,7.92,7.67,7.75,7.67,7.58,10.0,7.75,0,64.00999999999999,11.0,0,2,green,2,6000.0
88,Honduras,finca de la casa,1800.0,"San Andrés, Lempira",16,30.0,typica,semi washed,7.75,7.75,7.75,7.67,7.75,7.67,10.0,7.67,0,64.01,9.4,0,0,green,0,480.0
89,Tanzania,KONGONI ESTATE,1675.0,ARUSHA,200,60.0,bourbon,washed / wet,7.58,7.67,7.75,7.75,7.75,7.75,10.0,7.75,0,64.0,9.8,0,0,greenish,3,12000.0
90,Ethiopia,Ecom Agroindustrial,1800.0,Sidama,300,60.0,ethiopian heirlooms,washed / wet,8.0,7.75,7.5,7.67,7.67,7.67,10.0,7.75,0,64.01,11.3,1,1,green,1,18000.0
91,Tanzania,MASHIMA AMCOS,1550.0,KILIMANJARO,320,60.0,bourbon,washed / wet,7.75,7.58,7.58,7.92,7.67,7.75,10.0,7.75,0,64.0,11.6,0,0,greenish,2,19200.0
92,Colombia,COO,1550.0,Huila,275,70.0,caturra,washed / wet,7.67,7.83,7.58,7.92,7.67,7.67,10.0,7.67,0,64.01,13.3,0,2,green,3,19250.0
93,Costa Rica,Gamboa Farm,1850.0,Tarrazu,250,35.0,caturra,washed / wet,7.67,7.92,7.58,7.75,7.67,7.58,10.0,7.75,0,63.92,9.5,0,0,green,2,8750.0
94,Guatemala,El Morito,1900.0,New Oriente,1,15.0,gesha,natural / dry,7.83,7.83,7.58,7.67,7.67,7.58,10.0,7.75,0,63.910000000000004,11.9,0,0,greenish,0,15.0
95,Guatemala,San jose del lago,1600.0,Atitlán,35,30.0,bourbon,washed / wet,7.58,7.83,7.58,7.75,7.67,7.75,10.0,7.75,0,63.910000000000004,10.0,0,1,green,2,1050.0
96,Thailand,Baan San Charoen,1350.0,Nan,1,30.0,catimor,natural / dry,7.75,7.67,7.58,7.75,7.75,7.67,10.0,7.75,0,63.92,11.6,0,0,yellowish,3,30.0
97,Colombia,no_record,1411.0,Pereira,375,70.0,no_record,washed / wet,7.67,7.75,7.67,7.75,7.67,7.67,10.0,7.67,0,63.85,11.9,0,1,green,1,26250.0
98,Guatemala,FINCA ALTA LUZ,1400.0,HUEHUETENANGO,600,30.0,"bourbon, caturra,catimor",natural / dry,7.58,7.83,7.67,7.67,7.67,7.67,10.0,7.75,0,63.84,10.8,0,0,green,4,18000.0
99,Guatemala,SAN RAFAEL URIAS VALDES,5272.5,ANTIGUA GUATEMALA,635,30.0,bourbon,washed / wet,7.58,7.92,7.5,7.67,7.75,7.67,10.0,7.75,0,63.84,10.9,0,1,greenish,4,19050.0
100,Ethiopia,Gerbicho Lela Cooperative,2000.0,Sidama,100,60.0,ethiopian heirlooms,washed / wet,7.83,7.67,7.5,7.92,7.5,7.67,10.0,7.75,0,63.84,12.0,0,0,green,12,6000.0
101,Colombia,no_record,1700.0,Cauca,285,70.0,caturra,washed / wet,7.92,7.75,7.42,7.58,7.92,7.67,10.0,7.58,0,63.84,12.1,2,5,green,5,19950.0
102,United States (Hawaii),various farms,500.0,Ka'u,4,15.0,typica,washed / wet,7.67,7.92,7.58,7.58,7.58,7.75,10.0,7.75,0,63.83,11.8,0,3,green,3,60.0
103,Colombia,La Gallera,1800.0,Tolima,40,35.0,bourbon sidra,semi washed,7.67,7.92,7.67,7.58,7.67,7.67,10.0,7.58,0,63.76,10.6,0,0,greenish,1,1400.0
104,Mexico,Finca Custepec,1200.0,Chiapas,600,30.0,sarchimor,washed / wet,7.67,7.67,7.58,7.67,7.83,7.58,10.0,7.75,0,63.75,11.7,4,0,green,12,18000.0
106,Taiwan,永舜咖啡莊園,1250.0,"Caoling , Gukeng Township, Yunlin County",50,2.0,sl34,washed / wet,7.67,7.67,7.75,7.75,7.5,7.67,10.0,7.67,0,63.68000000000001,10.0,0,0,bluish-green,0,100.0
107,Myanmar,Aromatic,1400.0,South Shan State,100,30.0,"catimor,catuai,caturra,bourbon",natural / dry,7.83,7.83,7.67,7.58,7.58,7.58,10.0,7.58,0,63.64999999999999,10.2,0,1,pale yellow,1,3000.0
108,Taiwan,恆珊農場,300.0,新竹縣,1,13.0,no_record,semi washed,7.58,7.75,7.67,7.83,7.5,7.67,10.0,7.67,0,63.67,9.2,0,0,greenish,0,13.0
109,Honduras,Maria Bonita,1470.0,"San Jose, La Paz",9,15.0,parainema,natural / dry,7.67,7.67,7.58,7.75,7.67,7.67,10.0,7.67,0,63.68000000000001,11.1,0,2,pale yellow,1,135.0
110,Taiwan,正源咖啡,325.0,新竹縣,1,10.0,no_record,natural / dry,7.58,7.67,7.5,7.75,7.75,7.67,10.0,7.67,0,63.59,8.4,0,0,green,0,10.0
111,Taiwan,宋明光	蝙蝠洞莊園	蝙蝠洞莊園,275.0,新竹縣,1,10.0,typica,semi washed,7.58,7.75,7.58,7.75,7.58,7.67,10.0,7.67,0,63.580000000000005,9.1,0,0,green,0,10.0
112,Guatemala,SAN FRANCISCO COTZAL,1600.0,QUICHE,275,69.0,caturra,washed / wet,7.58,7.83,7.58,7.67,7.58,7.58,10.0,7.75,0,63.57,10.9,0,2,green,4,18975.0
113,Honduras,varias,1400.0,Marcala,260,69.0,shg,washed / wet,7.75,7.67,7.58,7.58,7.58,7.67,10.0,7.67,0,63.5,11.2,0,1,green,5,17940.0
114,Colombia,La fortaleza,1700.0,Popayán Cauca,600,30.0,caturra,washed / wet,7.75,7.75,7.5,7.58,7.83,7.5,10.0,7.58,0,63.489999999999995,12.2,0,0,bluish-green,2,18000.0
115,Thailand,Doi Tung Development Project,1390.0,North of Thailand,2,1.0,bourbon,washed / wet,7.42,7.83,7.58,7.67,7.67,7.75,10.0,7.58,0,63.5,13.1,0,0,green,0,2.0
116,Ethiopia,YHAENU PLC FARM,1700.0,OROMIA,320,19200.0,ethiopian heirlooms,washed / wet,7.42,7.42,7.42,8.0,7.92,7.67,10.0,7.67,0,63.52,10.4,0,1,greenish,11,6144000.0
117,Thailand,Doi Nan,1450.0,Suan Ya Lung,5,2.0,java,washed / wet,7.67,7.67,7.5,7.67,7.58,7.67,10.0,7.67,0,63.43,11.6,0,2,green,0,10.0
118,Uganda,Bugisu Shamba,1650.0,Mt Elgon,150,60.0,sl14,washed / wet,7.75,7.75,7.5,7.5,7.58,7.58,10.0,7.75,0,63.41,10.1,0,0,green,3,9000.0
119,Taiwan,香香久溢咖啡莊園,1100.0,Chiayi,1,40.0,"typica,sl34",washed / wet,7.75,7.92,7.67,7.92,7.75,7.83,8.67,7.92,0,63.43,10.1,0,0,blue-green,0,40.0
120,Uganda,Masereka William,1905.0,Rwenzori,320,60.0,sl14,washed / wet,7.75,7.67,7.58,7.5,7.67,7.5,10.0,7.67,0,63.34,11.1,0,0,green,5,19200.0
121,Taiwan,四分子道,250.0,新竹縣,1,8.0,typica,semi washed,7.58,7.67,7.5,7.75,7.5,7.58,10.0,7.75,0,63.33,9.7,0,0,greenish,0,8.0
122,Guatemala,MI CAFECITO & LA PROVIDENCIA,1302.5,NEW ORIENTE & HUEHUETENANGO,320,60.0,"marsellesa, catuai, caturra,marsellesa, anacafe 14, catuai",washed / wet,7.5,7.75,7.58,7.75,7.67,7.58,10.0,7.5,0,63.33,11.4,0,0,green,0,19200.0
123,Taiwan,木華莊園,300.0,桃園市,1,80.0,typica,washed / wet,7.58,7.67,7.58,7.75,7.42,7.58,10.0,7.75,0,63.33,9.6,0,0,green,1,80.0
124,Colombia,El Laurel,1100.0,Sierra Nevada de Santa Marta,2,1.0,caturra,washed / wet,7.67,7.67,7.42,7.75,7.5,7.75,10.0,7.58,0,63.339999999999996,13.5,0,0,greenish,0,2.0
125,Costa Rica,Gamboa Farm,1850.0,Tarrazu,320,69.0,caturra,washed / wet,7.58,7.75,7.42,7.67,7.5,7.75,10.0,7.67,0,63.34,0.0,0,0,green,3,22080.0
126,Taiwan,東泓咖啡莊園,750.0,Yunlin,1,100.0,sl34,washed / wet,7.75,7.83,7.58,7.58,7.58,7.5,10.0,7.5,0,63.32,10.7,0,0,blue-green,1,100.0
127,Thailand,Doi Tung Development Project,1400.0,North of Thailand,2,1.0,typica,washed / wet,7.92,7.92,7.75,7.33,7.58,7.5,10.0,7.33,0,63.33,12.3,0,0,yellow-green,16,2.0
128,Tanzania,MASHIMA AMCOS,1550.0,KILIMANJARO,320,60.0,bourbon,washed / wet,7.92,7.67,7.42,7.5,7.67,7.58,10.0,7.5,0,63.26,10.4,0,0,greenish,8,19200.0
